TASTEFUL STUDIO - PACKAGE PRICING WITH INFRASTRUCTURE COSTS
Target: 75% Gross Profit Margin

===== SIGNATURE ENVIRONMENTS =====

ELEGANT RECEPTION (100 Guests)
Current Price: $6,499 | Current GPM: 20.41% | Price at 75% GPM: $20,690.65

Category	Item	Qty	Unit Cost	Total
Structure	Grand Ballroom 30x60 Frame	1	$266.70	$266.70
Tables	Round Tables (60")	12	$4.34	$52.04
Chairs	Chiavari Chairs	100	$9.90	$990.00
Linens	Premium Linens (poly)	12	$18.15	$217.80
Lighting	Chandelier	1	$440.00	$440.00
Lighting	LED Uplighting Fixtures	10	$46.75	$467.50
Flooring	Dance Floor (15' x 15')	1	$438.63	$438.63
Service	Setup and Breakdown	10	$75.00	$750.00
Infrastructure	Power	1	$325.00	$325.00
Infrastructure	Flooring	1	$650.00	$650.00
Infrastructure	Sanitation	1	$150.00	$150.00
Infrastructure	Climate	1	$425.00	$425.00
		TOTAL COST		$5,172.66


GRAND CELEBRATION (200 Guests)
Current Price: $19,999 | Current GPM: 28.51% | Price at 75% GPM: $57,185.46

Category	Item	Qty	Unit Cost	Total
Structure	The Regency Celebration Pavilion 40x80	1	$471.14	$471.14
Tables	Round Tables (60")	25	$4.34	$108.42
Chairs	Chiavari Chairs	200	$9.90	$1,980.00
Linens	Premium Linens (satin etc)	25	$29.70	$742.50
Linens	Napkins	200	$1.27	$253.00
Lighting	Crystal Chandeliers	3	$440.00	$1,320.00
Lighting	Full Lighting Package - 50 ft strand	20	$0.10	$1.95
Flooring	Dance Floor (21' x 21')	1	$859.71	$859.71
Service	Cocktail Hour Setup (no bar)	12	$36.22	$434.65
Service	Event Planning Consultation	8	$75.00	$600.00
Service	Setup and Breakdown	64	$75.00	$4,800.00
Infrastructure	Power	1	$700.00	$700.00
Infrastructure	Flooring	1	$1,050.00	$1,050.00
Infrastructure	Sanitation	1	$250.00	$250.00
Infrastructure	Climate	1	$725.00	$725.00
		TOTAL COST		$14,296.37


ESTATE AFFAIR (250 Guests)
Current Price: $39,999 | Current GPM: 35.12% | Price at 75% GPM: $103,799.49

