TASTEFUL ENVIRONMENTS - DETAILED INFRASTRUCTURE COSTS,,,,,,,,
Target: 80% Gross Margin,,,,,,,,
,,,,,,,,
========== POWER INFRASTRUCTURE ==========,,,,,,,,
,,,,,,,,
SUMMARY BY EVENT SIZE & VENUE,,,,,,,,
Event Size,Resort/Hotel,Winery/Garden,Estate/Remote,,,,,
100 Guests,$50,$375,$925,,,,,
200 Guests,$75,$700,$1700,,,,,
250 Guests,$100,$1038,$2738,,,,,
400 Guests,$150,$1250,$3250,,,,,
,,,,,,,,
-------------------------------------------,,,,,,,,
RESORT/HOTEL (Scenario C) - Power Details,,,,,,,,
-------------------------------------------,,,,,,,,
,,,,,,,,
100 GUESTS - Resort/Hotel Power,$50,,,,,,,
Item,Description,Qty,Unit Cost,Total,,,,
Outlet Access,Venue power access fee,1,$25,$25,,,,
Power Strips,Commercial power strips,2,$5,$10,,,,
Extension Cords,25ft heavy duty,2,$5,$10,,,,
Gaffer Tape,Cable management,1,$5,$5,,,,
,,,SUBTOTAL,$50,,,,
,,,,,,,,
200 GUESTS - Resort/Hotel Power,$75,,,,,,,
Item,Description,Qty,Unit Cost,Total,,,,
Outlet Access,Venue power access fee,1,$25,$25,,,,
Power Strips,Commercial power strips,4,$5,$20,,,,
Extension Cords,50ft heavy duty,3,$5,$15,,,,
Cable Ramps,Floor cable protection,2,$5,$10,,,,
Gaffer Tape,Cable management,1,$5,$5,,,,
,,,SUBTOTAL,$75,,,,
,,,,,,,,
250 GUESTS - Resort/Hotel Power,$100,,,,,,,
Item,Description,Qty,Unit Cost,Total,,,,
Panel Access,Electrical panel access fee,1,$40,$40,,,,
Distribution Box,Portable power distribution,1,$20,$20,,,,
Power Strips,Commercial power strips,4,$5,$20,,,,
Extension Cords,50ft heavy duty,3,$5,$15,,,,
Cable Ramps,Floor cable protection,1,$5,$5,,,,
,,,SUBTOTAL,$100,,,,
,,,,,,,,
400 GUESTS - Resort/Hotel Power,$150,,,,,,,
Item,Description,Qty,Unit Cost,Total,,,,
Panel Access,Multiple panel access fee,2,$40,$80,,,,
Distribution Box,Portable power distribution,2,$20,$40,,,,
Power Strips,Commercial power strips,4,$5,$20,,,,
Cable Ramps,Floor cable protection,2,$5,$10,,,,
,,,SUBTOTAL,$150,,,,
,,,,,,,,
-------------------------------------------,,,,,,,,
WINERY/GARDEN (Scenario B) - Power Details,,,,,,,,
-------------------------------------------,,,,,,,,
,,,,,,,,
100 GUESTS - Winery/Garden Power,$375,,,,,,,
Item,Description,Qty,Unit Cost,Total,,,,
Generator,20kW quiet generator rental,1,$175,$175,,,,
Fuel,Fuel for 8-hour event,15,$4,$60,,,,
Distribution Box,Spider box 50A,1,$35,$35,,,,
Extension Cords,100ft 12-gauge,4,$15,$60,,,,
Cable Ramps,Outdoor cable protection,3,$10,$30,,,,
Gaffer Tape,Weather-resistant,1,$15,$15,,,,
,,,SUBTOTAL,$375,,,,
,,,,,,,,
200 GUESTS - Winery/Garden Power,$700,,,,,,,
Item,Description,Qty,Unit Cost,Total,,,,
Generator,45kW quiet generator rental,1,$325,$325,,,,
Fuel,Fuel for 8-hour event,30,$4,$120,,,,
Distribution Box,Spider box 100A,1,$50,$50,,,,
Sub-Panels,Secondary distribution,2,$35,$70,,,,
Extension Cords,100ft 10-gauge,6,$20,$120,,,,
Cable Ramps,Outdoor cable protection,1,$15,$15,,,,
,,,SUBTOTAL,$700,,,,
,,,,,,,,
250 GUESTS - Winery/Garden Power,$1038,,,,,,,
Item,Description,Qty,Unit Cost,Total,,,,
Generator,60kW quiet generator rental,1,$425,$425,,,,
Fuel,Fuel for 8-hour event,40,$4,$160,,,,
Distribution Panel,Main distribution 200A,1,$75,$75,,,,
Sub-Panels,Secondary distribution,3,$35,$105,,,,
Extension Cords,100ft 10-gauge,8,$20,$160,,,,
Cable Ramps,Heavy duty outdoor,6,$13,$78,,,,
Gaffer Tape,Weather-resistant,3,$15,$45,,,,
,,,SUBTOTAL,$1048,,,,
,,,,,,,,
400 GUESTS - Winery/Garden Power,$1250,,,,,,,
Item,Description,Qty,Unit Cost,Total,,,,
Generator Primary,80kW generator rental,1,$500,$500,,,,
Generator Backup,20kW backup generator,1,$175,$175,,,,
Fuel,Fuel for 8-hour event,60,$4,$240,,,,
Distribution Panel,Main distribution 200A,1,$75,$75,,,,
Sub-Panels,Secondary distribution,4,$35,$140,,,,
Extension Cords,100ft 10-gauge,6,$20,$120,,,,
,,,SUBTOTAL,$1250,,,,
,,,,,,,,
-------------------------------------------,,,,,,,,
ESTATE/REMOTE (Scenario A) - Power Details,,,,,,,,
-------------------------------------------,,,,,,,,
,,,,,,,,
100 GUESTS - Estate/Remote Power,$925,,,,,,,
Item,Description,Qty,Unit Cost,Total,,,,
Generator,45kW whisper generator rental,1,$325,$325,,,,
Fuel,Fuel + reserve for 10 hours,25,$4,$100,,,,
Fuel Delivery,Remote location delivery,1,$75,$75,,,,
Generator Operator,Certified operator (8 hrs),1,$200,$200,,,,
Distribution Panel,Main distribution 100A,1,$50,$50,,,,
Sub-Panels,Zone distribution boxes,2,$35,$70,,,,
Cabling,Heavy duty cable runs (500ft),1,$75,$75,,,,
Cable Protection,Buried/covered runs,1,$30,$30,,,,
,,,SUBTOTAL,$925,,,,
,,,,,,,,
200 GUESTS - Estate/Remote Power,$1700,,,,,,,
Item,Description,Qty,Unit Cost,Total,,,,
Generator Primary,100kW generator rental,1,$550,$550,,,,
Generator Backup,45kW backup generator,1,$325,$325,,,,
Fuel,Fuel + reserve for 10 hours,50,$4,$200,,,,
Fuel Delivery,Remote location delivery,1,$100,$100,,,,
Generator Operator,Certified operator (10 hrs),1,$250,$250,,,,
Distribution Panel,Main distribution 200A,1,$75,$75,,,,
Sub-Panels,Zone distribution boxes,3,$35,$105,,,,
Cabling,Heavy duty cable runs (800ft),1,$95,$95,,,,
,,,SUBTOTAL,$1700,,,,
,,,,,,,,
250 GUESTS - Estate/Remote Power,$2738,,,,,,,
Item,Description,Qty,Unit Cost,Total,,,,
Generator Primary,150kW generator rental,1,$750,$750,,,,
Generator Backup,60kW backup generator,1,$425,$425,,,,
Fuel,Fuel + reserve for 10 hours,75,$4,$300,,,,
Fuel Delivery,Remote location delivery,1,$125,$125,,,,
Generator Operators,Certified operators (10 hrs),2,$250,$500,,,,
Distribution Panel,Main distribution 400A,1,$125,$125,,,,
Sub-Panels,Zone distribution boxes,4,$35,$140,,,,
Cabling,Heavy duty cable runs (1000ft),1,$125,$125,,,,
Transfer Switch,Automatic transfer switch,1,$150,$150,,,,
Monitoring,Power monitoring system,1,$98,$98,,,,
,,,SUBTOTAL,$2738,,,,
,,,,,,,,
400 GUESTS - Estate/Remote Power,$3250,,,,,,,
Item,Description,Qty,Unit Cost,Total,,,,
Generator Primary,200kW generator rental,1,$900,$900,,,,
Generator Backup,100kW backup generator,1,$550,$550,,,,
Fuel,Fuel + reserve for 10 hours,100,$4,$400,,,,
Fuel Delivery,Remote location delivery,1,$150,$150,,,,
Generator Operators,Certified operators (12 hrs),2,$300,$600,,,,
Distribution Panel,Main distribution 400A,1,$125,$125,,,,
Sub-Panels,Zone distribution boxes,5,$35,$175,,,,
Cabling,Heavy duty cable runs (1200ft),1,$150,$150,,,,
Transfer Switch,Automatic transfer switch,1,$150,$150,,,,
Monitoring,Power monitoring system,1,$50,$50,,,,
,,,SUBTOTAL,$3250,,,,
,,,,,,,,
,,,,,,,,
========== FLOORING INFRASTRUCTURE ==========,,,,,,,,
,,,,,,,,
SUMMARY BY EVENT SIZE & VENUE,,,,,,,,
Event Size,Resort/Hotel,Winery/Garden,Estate/Remote,,,,,
100 Guests,$450,$663,$3163,,,,,
200 Guests,$700,$1025,$5775,,,,,
250 Guests,$925,$1350,$7525,,,,,
400 Guests,$1100,$1600,$9500,,,,,
,,,,,,,,
-------------------------------------------,,,,,,,,
RESORT/HOTEL (Scenario C) - Flooring Details,,,,,,,,
-------------------------------------------,,,,,,,,
,,,,,,,,
100 GUESTS - Resort/Hotel Flooring,$450,,,,,,,
Item,Description,Qty,Unit Cost,Total,,,,
Dance Floor,15x15 portable dance floor (225 sq ft),25,$12,$300,,,,
Floor Edging,Aluminum trim pieces,20,$3,$60,,,,
Installation,Setup and leveling,1,$75,$75,,,,
Floor Tape,Secure edges,1,$15,$15,,,,
,,,SUBTOTAL,$450,,,,
,,,,,,,,
200 GUESTS - Resort/Hotel Flooring,$700,,,,,,,
Item,Description,Qty,Unit Cost,Total,,,,
Dance Floor,21x21 portable dance floor (441 sq ft),49,$10,$490,,,,
Floor Edging,Aluminum trim pieces,28,$3,$84,,,,
